,index,start,arrival,KPrange,Kp,K,InRangeGlobal,InRangeLocal,timingKp,timingK,Onsetdst
141,CME-20241003T082400,2024-10-03T08:24:00,2024-10-06T19:00:00,4.0 - 6.0,3.33333333,3,no,no,M,M,H
142,CME-20241003T124800,2024-10-03T12:48:00,2024-10-05T22:30:00,4.9 - 7.3,1.33333333,1,no,no,FA,FA,M
143,CME-20241003T132600,2024-10-03T13:26:00,2024-10-06T18:00:00,4.0 - 6.0,3.33333333,3,no,no,M,M,H
144,CME-20241003T203600,2024-10-03T20:36:00,2024-10-06T11:17:00,3.83333 - 5.83333,1.33333333,2,no,no,M,M,H
145,CME-20241004T041300,2024-10-04T04:13:00,2024-10-07T03:42:00,3.4 - 5.6,5.66666667,5,no,no,H,H,H
146,CME-20241007T201200,2024-10-07T20:12:00,2024-10-11T02:34:00,3.0 - 5.0,8.33333333,6,no,no,H,H,H
147,CME-20241008T061200,2024-10-08T06:12:00,2024-10-11T00:20:00,3.0 - 4.0,8.66666667,7,no,no,H,H,H
148,CME-20241009T021200,2024-10-09T02:12:00,2024-10-10T15:59:00,6.5 - 8.33333,4,3,no,no,M,M,H
149,CME-20241016T190000,2024-10-16T19:00:00,2024-10-17T09:00:00,4.0 - 6.0,2,2,no,no,FA,FA,FA
150,CME-20241023T124800,2024-10-23T12:48:00,2024-10-26T20:30:00,3.0 - 5.5,3.66666667,4,yes,yes,H,H,FA
151,CME-20241024T034800,2024-10-24T03:48:00,2024-10-26T06:45:00,4.0 - 6.16667,0.33333333,1,no,no,M,M,FA
152,CME-20241026T064800,2024-10-26T06:48:00,2024-10-28T05:33:00,4.8 - 6.8,4.66666667,4,no,no,H,FA,FA
153,CME-20241029T132300,2024-10-29T13:23:00,2024-11-02T16:30:00,3.0 - 4.5,2.33333333,2,no,no,H,M,H
154,CME-20241031T134800,2024-10-31T13:48:00,2024-11-03T20:00:00,2.665 - 4.335,3,3,yes,yes,H,H,H
155,CME-20241104T013600,2024-11-04T01:36:00,2024-11-06T20:25:00,3.8 - 5.6,1.66666667,2,no,no,FA,FA,FA
156,CME-20241104T172400,2024-11-04T17:24:00,2024-11-08T10:00:00,3.0 - 5.0,1.33333333,1,no,no,M,M,H
157,CME-20241105T000900,2024-11-05T00:09:00,2024-11-07T16:00:00,3.0 - 5.0,0.66666667,2,no,no,M,M,M
158,CME-20241111T012300,2024-11-11T01:23:00,2024-11-14T00:00:00,3.0 - 4.0,0.66666667,1,no,no,M,M,H
159,CME-20241113T171200,2024-11-13T17:12:00,2024-11-17T02:00:00,3.0 - 4.0,0.66666667,0,no,no,M,FA,FA
160,CME-20241114T132500,2024-11-14T13:25:00,2024-11-17T21:00:00,3.0 - 5.0,1.33333333,2,no,no,M,FA,FA
161,CME-20241125T031200,2024-11-25T03:12:00,2024-11-28T20:00:00,2.0 - 4.0,1,1,no,no,M,M,H
162,CME-20241125T040000,2024-11-25T04:00:00,2024-11-28T20:00:00,2.0 - 4.0,1,1,no,no,M,M,H
163,CME-20241125T212400,2024-11-25T21:24:00,2024-11-28T11:32:00,4.25 - 6.25,0.66666667,1,no,no,FA,FA,H
164,CME-20241125T213600,2024-11-25T21:36:00,2024-11-29T06:00:00,3.0 - 4.0,2.33333333,2,no,no,M,M,M
165,CME-20241127T192400,2024-11-27T19:24:00,2024-12-01T08:10:00,3.5 - 5.5,1.66666667,2,no,no,M,M,FA
166,CME-20241208T092400,2024-12-08T09:24:00,2024-12-11T08:20:00,3.0 - 4.5,1.66666667,2,no,no,M,M,FA
167,CME-20241209T063600,2024-12-09T06:36:00,2024-12-13T22:00:00,3.0 - 4.0,0.66666667,1,no,no,M,M,M
168,CME-20241210T095300,2024-12-10T09:53:00,2024-12-15T08:00:00,2.0 - 3.0,1.66666667,2,no,yes,H,H,M
169,CME-20241214T053600,2024-12-14T05:36:00,2024-12-17T19:00:00,3.0 - 5.0,4.33333333,4,yes,yes,H,H,H
170,CME-20241214T112400,2024-12-14T11:24:00,2024-12-19T21:00:00,3.0 - 5.0,2,1,no,no,M,M,FA
171,CME-20241215T012500,2024-12-15T01:25:00,2024-12-18T14:24:00,3.33333 - 5.33333,3,2,no,no,M,M,H
172,CME-20241215T042300,2024-12-15T04:23:00,2024-12-18T06:29:00,3.66667 - 5.66667,2,2,no,no,H,M,H
173,CME-20241220T232300,2024-12-20T23:23:00,2024-12-24T00:29:00,3.0 - 5.0,3.33333333,2,yes,no,H,M,FA
